group_ko	group_en	group	path	name_ko	name_en	stat_code	item_code1	item_code2	item_code3	cycle
통관수출입	External Trades	trade	trade.terms_of_trade.income	소득교역조건지수	Income Terms of Trade Index	403Y005	B			M
대외채권/채무	External Assets/Debt	external	external.reserves.total	외환보유액	International Reserves	732Y001	99			M
대외채권/채무	External Assets/Debt	external	external.reserves.fx	외환보유액(외환)	International Reserves: Foreign Exchange	732Y001	04			M
대외채권/채무	External Assets/Debt	external	external.reserves.gold	외환보유액(금)	International Reserves: Gold	732Y001	01			M
대외채권/채무	External Assets/Debt	external	external.reserves.sdr	외환보유액(SDR)	International Reserves: SDRs	732Y001	02			M
대외채권/채무	External Assets/Debt	external	external.reserves.imf	외환보유액(IMF포지션)	International Reserves: IMF Reserve Position	732Y001	03			M
대외채권/채무	External Assets/Debt	external	external.debt	대외채무	External Debt	311Y004	A000000			Q
대외채권/채무	External Assets/Debt	external	external.claims	대외채권	External Claims	311Y005	B000000			Q
소비자/생산자 물가	CPI/PPI	price	price.cpi	소비자물가지수	Consumer Price Index	901Y009	0			M
소비자/생산자 물가	CPI/PPI	price	price.core_cpi	농산물 및 석유류제외 소비자물가지수	CPI Excluding Agricultural Products & Oils	901Y010	QB			M
소비자/생산자 물가	CPI/PPI	price	price.living_cpi	생활물가지수	CPI For Living Necessaries	901Y010	110			M
소비자/생산자 물가	CPI/PPI	price	price.ppi	생산자물가지수	Producer Price Index	404Y014	*AA			M
통관수출입	External Trades	trade	trade.exports.price	수출물가지수	Export Price Index	402Y014	*AA			M
통관수출입	External Trades	trade	trade.imports.price	수입물가지수	Import Price Index	401Y015	*AA			M
부동산 가격	Real Estate Price Indice	real_estate	real_estate.house_sales_price	주택매매가격지수	Housing Sales Price Index	901Y062	P63A			M
부동산 가격	Real Estate Price Indice	real_estate	real_estate.house_jeonse_price	주택전세가격지수	Housing Jeonse Price Index	901Y063	P64A			M
부동산 가격	Real Estate Price Indice	real_estate	real_estate.land_price_change	지가변동률(전기대비)	Land Price Change Rates	901Y064	P65A			M
국제원자재가격	Commodity Price	commodity	commodity.dubai_oil	Dubai유(현물)	Dubai Crude Oil	902Y003	010102			M
국제원자재가격	Commodity Price	commodity	commodity.gold	금	Gold Price(Spot)	902Y003	040101			M
심리지표	Sentiment Indice	sentiment	sentiment.manufacturing_bsi	제조업업황실적BSI	BSI(Manufact. Business Con., Tendency)	512Y013	C0000	AA		M
무역	Trade	trade	trade.exports.semiconductor.value	반도체 수출금액지수	Semiconductor Export Value Index	403Y001	30911AA			M
무역	Trade	trade	trade.exports.semiconductor.volume	반도체 수출물량지수	Semiconductor Export Volume Index	403Y002	30911AA			M
무역	Trade	trade	trade.exports.semiconductor.price	반도체 수출물가지수	Semiconductor Export Price Index	402Y014	30911AA			M
무역	Trade	trade	trade.imports.semiconductor.value	반도체 수입금액지수	Semiconductor Import Value Index	403Y003	30911AA			M
무역	Trade	trade	trade.imports.semiconductor.volume	반도체 수입물량지수	Semiconductor Import Volume Index	403Y004	30911AA			M
무역	Trade	trade	trade.imports.semiconductor.price	반도체 수입물가지수	Semiconductor Import Price Index	401Y015	30911AA			M
물가	Prices	price	price.producer.dram	DRAM 생산자물가	DRAM Producer Price	404Y016	30911201AA			M
물가	Prices	price	price.producer.nand	NAND플래시 생산자물가	NAND Flash Producer Price	404Y016	30911202AA			M
물가	Prices	price	price.producer.system_semiconductor	시스템반도체 생산자물가	System Semiconductor Producer Price	404Y016	30911203AA			M
